//https://github.moeyy.xyz/https://github.com/tansuotv/IPTVindex/blob/main/tv.txt

IPTVindex,#genre#

20240917更新,http://
收录1080p8M码率,http://
超高清频道,http://
除非找不到:),http://
IPTVindex.com,http://

影视综艺,#genre#

求索生活,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000008/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000008&IASHttpSessionId=OTT19019320240419154124000281
求索动物,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000009/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000009&IASHttpSessionId=OTT19019320240419154124000281
求索科学,http://[2409:8087:5e01:24::16]:6610/000000001000/2000000004000000011/index.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=hnbblive&Contentid=2000000004000000011&IASHttpSessionId=OTT19019320240419154124000281

精品纪录,http://[2409:8087:1a0b:df::4007]:80/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225672/index.m3u8

CANAL MOTOR,http://digicom.hls.iptvdc.com/canalmotor/index.m3u8

CGTN DOCUMENTARY,https://0472.org/hls/cgtnd.m3u8

Discovery 俄语,http://88.212.7.11/live/test_discovery_hd_hevc/playlist.m3u8

FTV,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
FTV,https://fash1043.cloudycdn.services/slive/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/playlist.m3u8
FTV,https://fash1043.cloudycdn.services/slive/ftv_ftv_midnite_k1y_27049_midnite_secr_108_hls.smil/chunklist_b3628000_t64MTA4MHA=.m3u8
FTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8

Love Nature 4K,http://d18dyiwu97wm6q.cloudfront.net/playlist.m3u8

NASA Public Channel,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8
NASA Public Channel,https://ntv2.akamaized.net/hls/live/2013923/NASA-NTV2-HLS/master_2000.m3u8

Nature Time,https://shls-live-ak.akamaized.net/out/v1/b06a89a463764d3688cda337d40dc5bf/index.m3u8

Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master.m3u8
Red Bull TV,https://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_6660.m3u8

Rossia Today Documentary,https://rt-rtd.rttv.com/live/rtdoc/playlist.m3u8

Travel 4K,https://d35j504z0x2vu2.cloudfront.net/v1/master/0bc8e8376bd8417a1b6761138aa41c26c7309312/4k-travel-tv/manifest.m3u8

Wild Earth,https://wildearth-plex.amagi.tv/masterR1080p.m3u8

WORLD HD,http://185.57.68.33:8091/232/tracks-v1a1/index.m3u8

海外资讯,#genre#

